MW560924 eta_MW560924
MW578231 eta_MW578231
MW598416 eta_MW598416
MW708456 eta_MW708456
MW709039 eta_MW709039
MW699913 eta_MW699913
MW713636 eta_MW713636
MW725603 eta_MW725603
MW735458 eta_MW735458
MW751593 eta_MW751593
MW751596 eta_MW751596
FR993021 eta_FR993021
MW791296 eta_MW791296
MW809041 eta_MW809041
MW809045 eta_MW809045
MW809053 eta_MW809053
MW809056 eta_MW809056
MW809058 eta_MW809058
MW809059 eta_MW809059
MW809060 eta_MW809060
MW809061 eta_MW809061
MZ414926.1 eta_MZ414926.1
MW831053 eta_MW831053
MW834639 eta_MW834639
MW850613 eta_MW850613
MW851945 eta_MW851945
MW852481 eta_MW852481
MW852494 eta_MW852494
MZ246502 eta_MZ246502
MW907088 eta_MW907088
MW930877 eta_MW930877
MW930913 eta_MW930913
MW930939 eta_MW930939
MZ232392 eta_MZ232392
MW963479 eta_MW963479
MW963450 eta_MW963450
MZ232307 eta_MZ232307
MZ232313 eta_MZ232313
MZ232351 eta_MZ232351
MW963474 eta_MW963474
MW963476 eta_MW963476
MW965934 eta_MW965934
MW965935 eta_MW965935
MW965981 eta_MW965981
MW966024 eta_MW966024
MW966397 eta_MW966397
MW966413 eta_MW966413
MW966594 eta_MW966594
MW967091 eta_MW967091
MW967128 eta_MW967128
MW963443 eta_MW963443
MW963446 eta_MW963446
MW963454 eta_MW963454
MW963460 eta_MW963460
MW963462 eta_MW963462
MW963390 eta_MW963390
MW963392 eta_MW963392
MW963399 eta_MW963399
MW963402 eta_MW963402
MW963437 eta_MW963437
MW963441 eta_MW963441
MZ412379.1 eta_MZ412379.1
MW932389 eta_MW932389
MW937189 eta_MW937189
MW941726 eta_MW941726
MW941863 eta_MW941863
MW941945 eta_MW941945
MW942054 eta_MW942054
MW942172 eta_MW942172
MW942218 eta_MW942218
MW942492 eta_MW942492
MW942761 eta_MW942761
MW942787 eta_MW942787
MW943174 eta_MW943174
MW943179 eta_MW943179
MW943273 eta_MW943273
MW943566 eta_MW943566
MW943640 eta_MW943640
MW943746 eta_MW943746
MW943899 eta_MW943899
MW943913 eta_MW943913
MW944070 eta_MW944070
MW944259 eta_MW944259
MW944599 eta_MW944599
MW944740 eta_MW944740
MW944778 eta_MW944778
MW944788 eta_MW944788
MW944803 eta_MW944803
MW944805 eta_MW944805
MW944858 eta_MW944858
MW944873 eta_MW944873
MW944992 eta_MW944992
MW945042 eta_MW945042
MW945123 eta_MW945123
MW945202 eta_MW945202
MW945206 eta_MW945206
MW945221 eta_MW945221
MW945260 eta_MW945260
MW963141 eta_MW963141
MW963370 eta_MW963370
MW963376 eta_MW963376
MW963382 eta_MW963382
MW963383 eta_MW963383
MW963384 eta_MW963384
MW963385 eta_MW963385
MW963422 eta_MW963422
MW963428 eta_MW963428
MW963429 eta_MW963429
MW963432 eta_MW963432
MW964645 eta_MW964645
MW964683 eta_MW964683
MW964736 eta_MW964736
MW964842 eta_MW964842
MW965071 eta_MW965071
MW965081 eta_MW965081
MW965133 eta_MW965133
MW965821 eta_MW965821
MW965829 eta_MW965829
MW965850 eta_MW965850
MW965851 eta_MW965851
MW967788 eta_MW967788
MW967795 eta_MW967795
MW967824 eta_MW967824
MW968074 eta_MW968074
MW968619 eta_MW968619
MW968620 eta_MW968620
MW969454 eta_MW969454
MW974897 eta_MW974897
MW975064 eta_MW975064
MW975218 eta_MW975218
MW975426 eta_MW975426
MW975450 eta_MW975450
MW975638 eta_MW975638
MW975670 eta_MW975670
MW975692 eta_MW975692
MW975707 eta_MW975707
MW975722 eta_MW975722
MW975835 eta_MW975835
MW975928 eta_MW975928
MW975968 eta_MW975968
MW976004 eta_MW976004
MW976023 eta_MW976023
MW976071 eta_MW976071
MW976288 eta_MW976288
MW976289 eta_MW976289
MW976475 eta_MW976475
MW976483 eta_MW976483
MW976486 eta_MW976486
MW976599 eta_MW976599
MW976627 eta_MW976627
MW976670 eta_MW976670
MW976762 eta_MW976762
MW988276 eta_MW988276
MW988300 eta_MW988300
MW988974 eta_MW988974
MW989017 eta_MW989017
MW989195 eta_MW989195
MW990832 eta_MW990832
MW990833 eta_MW990833
MW990940 eta_MW990940
MW990953 eta_MW990953
MW991260 eta_MW991260
MZ004975 eta_MZ004975
MZ004977 eta_MZ004977
MZ004979 eta_MZ004979
MZ004982 eta_MZ004982
MZ004992 eta_MZ004992
MZ004993 eta_MZ004993
MZ005057 eta_MZ005057
MZ074657 eta_MZ074657
MZ074659 eta_MZ074659
MZ075661 eta_MZ075661
MZ075816 eta_MZ075816
MZ006082 eta_MZ006082
MZ006838 eta_MZ006838
MZ007220 eta_MZ007220
MZ008594 eta_MZ008594
MZ008750 eta_MZ008750
MZ008751 eta_MZ008751
MZ008755 eta_MZ008755
MZ009649 eta_MZ009649
MZ009905 eta_MZ009905
MZ012636 eta_MZ012636
MZ013431 eta_MZ013431
MZ015056 eta_MZ015056
MZ015230 eta_MZ015230
MZ015231 eta_MZ015231
MZ015232 eta_MZ015232
MZ015354 eta_MZ015354
MZ021702 eta_MZ021702
MZ021710 eta_MZ021710
MZ022964 eta_MZ022964
MZ023647 eta_MZ023647
MZ024077 eta_MZ024077
MZ025744 eta_MZ025744
MZ025857 eta_MZ025857
MZ028944 eta_MZ028944
MZ029775 eta_MZ029775
MZ030207 eta_MZ030207
MZ030208 eta_MZ030208
MZ030255 eta_MZ030255
MZ030273 eta_MZ030273
MZ030274 eta_MZ030274
MZ030314 eta_MZ030314
MZ030368 eta_MZ030368
MZ030519 eta_MZ030519
MZ033207 eta_MZ033207
MZ035488 eta_MZ035488
MZ035516 eta_MZ035516
MZ046443 eta_MZ046443
MZ046908 eta_MZ046908
MZ048046 eta_MZ048046
MZ048477 eta_MZ048477
MZ048478 eta_MZ048478
MZ048479 eta_MZ048479
MZ048500 eta_MZ048500
MZ048501 eta_MZ048501
MZ054863 eta_MZ054863
MZ054867 eta_MZ054867
MZ054875 eta_MZ054875
MZ055955 eta_MZ055955
MZ056112 eta_MZ056112
MZ056183 eta_MZ056183
MZ056328 eta_MZ056328
MZ056515 eta_MZ056515
MZ058020 eta_MZ058020
MZ058021 eta_MZ058021
MZ058023 eta_MZ058023
MZ058024 eta_MZ058024
MZ058289 eta_MZ058289
MZ059913 eta_MZ059913
MZ059924 eta_MZ059924
MZ061067 eta_MZ061067
MZ061133 eta_MZ061133
MZ061155 eta_MZ061155
MZ064663 eta_MZ064663
MZ064868 eta_MZ064868
MZ064903 eta_MZ064903
MZ064929 eta_MZ064929
MZ065025 eta_MZ065025
MZ073444 eta_MZ073444
MZ073598 eta_MZ073598
MZ073874 eta_MZ073874
MZ082616 eta_MZ082616
MZ082778 eta_MZ082778
MZ083275 eta_MZ083275
MZ083694 eta_MZ083694
MZ085276 eta_MZ085276
MZ085428 eta_MZ085428
MZ086238 eta_MZ086238
MZ086661 eta_MZ086661
MZ087994 eta_MZ087994
MZ088032 eta_MZ088032
MZ090292 eta_MZ090292
MZ100555 eta_MZ100555
MZ101384 eta_MZ101384
MZ132426 eta_MZ132426
MZ132540 eta_MZ132540
MZ233284 eta_MZ233284
MZ231688 eta_MZ231688
MZ231886 eta_MZ231886
MZ166218 eta_MZ166218
MZ240438 eta_MZ240438
MZ151981 eta_MZ151981
MZ144344 eta_MZ144344
MZ144345 eta_MZ144345
MZ144347 eta_MZ144347
MZ144348 eta_MZ144348
MZ144349 eta_MZ144349
MZ155985 eta_MZ155985
MZ153453 eta_MZ153453
MZ152584 eta_MZ152584
MZ154217 eta_MZ154217
MZ154455 eta_MZ154455
MZ153581 eta_MZ153581
MZ154265 eta_MZ154265
MZ166719 eta_MZ166719
MZ166190 eta_MZ166190
MZ172868 eta_MZ172868
MZ165954 eta_MZ165954
MZ165996 eta_MZ165996
MZ165821 eta_MZ165821
MZ169363 eta_MZ169363
MZ169362 eta_MZ169362
MZ164308 eta_MZ164308
MZ171733 eta_MZ171733
MZ171612 eta_MZ171612
MZ163907 eta_MZ163907
MZ171919 eta_MZ171919
MZ171862 eta_MZ171862
MZ173334 eta_MZ173334
MZ166361 eta_MZ166361
MZ172257 eta_MZ172257
MZ172264 eta_MZ172264
MZ173401 eta_MZ173401
MZ164008 eta_MZ164008
MZ164529 eta_MZ164529
MZ172113 eta_MZ172113
MZ172112 eta_MZ172112
MZ172172 eta_MZ172172
MZ172199 eta_MZ172199
MZ172088 eta_MZ172088
MZ172084 eta_MZ172084
MZ166532 eta_MZ166532
MZ170160 eta_MZ170160
MZ166757 eta_MZ166757
MZ171275 eta_MZ171275
MZ232692 eta_MZ232692
MZ232694 eta_MZ232694
MZ232697 eta_MZ232697
MZ232512 eta_MZ232512
MZ212586 eta_MZ212586
MZ214354 eta_MZ214354
MZ214355 eta_MZ214355
MZ213580 eta_MZ213580
MZ210542 eta_MZ210542
MZ212404 eta_MZ212404
MZ211384 eta_MZ211384
MZ212455 eta_MZ212455
MZ212461 eta_MZ212461
MZ210715 eta_MZ210715
MZ192570 eta_MZ192570
MZ185059 eta_MZ185059
MZ183982 eta_MZ183982
MZ184270 eta_MZ184270
MZ192852 eta_MZ192852
MZ188022 eta_MZ188022
MZ194000 eta_MZ194000
MZ194048 eta_MZ194048
MZ183978 eta_MZ183978
MZ191494 eta_MZ191494
MZ183980 eta_MZ183980
MZ196158 eta_MZ196158
MZ195723 eta_MZ195723
MZ185194 eta_MZ185194
MZ186159 eta_MZ186159
MZ188143 eta_MZ188143
MZ188627 eta_MZ188627
MZ188503 eta_MZ188503
MZ187539 eta_MZ187539
MZ187555 eta_MZ187555
MZ188375 eta_MZ188375
MZ188378 eta_MZ188378
MZ184065 eta_MZ184065
MZ264988 eta_MZ264988
MZ259174 eta_MZ259174
MZ259318 eta_MZ259318
MZ256379 eta_MZ256379
MZ258978 eta_MZ258978
MZ255145 eta_MZ255145
MZ228919 eta_MZ228919
MZ255146 eta_MZ255146
MZ257315 eta_MZ257315
MZ245098 eta_MZ245098
MZ244394 eta_MZ244394
MZ240196 eta_MZ240196
MZ243354 eta_MZ243354
MZ226085 eta_MZ226085
MZ227919 eta_MZ227919
MZ261083 eta_MZ261083
MZ260175 eta_MZ260175
MZ252565 eta_MZ252565
MZ257976 eta_MZ257976
MZ257977 eta_MZ257977
MZ258969 eta_MZ258969
MZ233765 eta_MZ233765
MZ233764 eta_MZ233764
MZ237970 eta_MZ237970
MZ262486 eta_MZ262486
MZ261942 eta_MZ261942
MZ238544 eta_MZ238544
MZ255147 eta_MZ255147
MZ257277 eta_MZ257277
MZ257772 eta_MZ257772
MZ260332 eta_MZ260332
MZ260488 eta_MZ260488
MZ255148 eta_MZ255148
MZ260436 eta_MZ260436
MZ260201 eta_MZ260201
MZ282111 eta_MZ282111
MZ282116 eta_MZ282116
MZ282401 eta_MZ282401
MZ282405 eta_MZ282405
MZ280476 eta_MZ280476
MZ284824 eta_MZ284824
MZ284270 eta_MZ284270
MZ283838 eta_MZ283838
MZ274533 eta_MZ274533
MZ274723 eta_MZ274723
MZ267313 eta_MZ267313
MZ271693 eta_MZ271693
MZ271470 eta_MZ271470
MZ271475 eta_MZ271475
MZ279463 eta_MZ279463
MZ288302 eta_MZ288302
MZ288311 eta_MZ288311
MZ286670 eta_MZ286670
MZ305351 eta_MZ305351
MZ308233 eta_MZ308233
MZ471474.1 eta_MZ471474.1
MZ471465.1 eta_MZ471465.1
MZ288109 eta_MZ288109
MZ291350 eta_MZ291350
MZ280667 eta_MZ280667
MZ280560 eta_MZ280560
MZ281195 eta_MZ281195
MZ287993 eta_MZ287993
MZ287978 eta_MZ287978
MZ280378 eta_MZ280378
MZ281645 eta_MZ281645
MZ281647 eta_MZ281647
MZ291017 eta_MZ291017
MZ282233 eta_MZ282233
MZ280475 eta_MZ280475
MZ315133 eta_MZ315133
MZ315112 eta_MZ315112
MZ321004 eta_MZ321004
MZ315469 eta_MZ315469
MZ315462 eta_MZ315462
MZ317699 eta_MZ317699
MZ321539 eta_MZ321539
MZ321227 eta_MZ321227
MZ342018 eta_MZ342018
MZ341937 eta_MZ341937
MZ337245 eta_MZ337245
MZ337199 eta_MZ337199
MZ337200 eta_MZ337200
MZ343598 eta_MZ343598
MZ349314 eta_MZ349314
MZ358620 eta_MZ358620
MZ351875 eta_MZ351875
MZ358532 eta_MZ358532
MZ371507 eta_MZ371507
MZ371523 eta_MZ371523
MZ368147 eta_MZ368147
MZ368148 eta_MZ368148
MZ368150 eta_MZ368150
MZ362444 eta_MZ362444
MZ362445 eta_MZ362445
MZ362446 eta_MZ362446
MZ362447 eta_MZ362447
MZ362448 eta_MZ362448
MZ362449 eta_MZ362449
MZ362450 eta_MZ362450
MZ362451 eta_MZ362451
MZ362443 eta_MZ362443
MZ362442 eta_MZ362442
MZ362441 eta_MZ362441
MZ362440 eta_MZ362440
MZ362439 eta_MZ362439
MZ360675 eta_MZ360675
MZ386276 eta_MZ386276
MZ389938 eta_MZ389938
MZ376074 eta_MZ376074
MZ376199 eta_MZ376199
MZ377584 eta_MZ377584
MZ388000 eta_MZ388000
MZ377462 eta_MZ377462
MZ378119 eta_MZ378119
MZ397919.1 eta_MZ397919.1
MZ450249.1 eta_MZ450249.1
MZ450381.1 eta_MZ450381.1
MZ450062.1 eta_MZ450062.1
MZ444427.1 eta_MZ444427.1
MZ444294.1 eta_MZ444294.1
MZ500503.1 eta_MZ500503.1
MZ500507.1 eta_MZ500507.1
MZ499074.1 eta_MZ499074.1
MZ499079.1 eta_MZ499079.1
MZ500509.1 eta_MZ500509.1
MZ500510.1 eta_MZ500510.1
MZ500514.1 eta_MZ500514.1
MZ498767.1 eta_MZ498767.1
MZ498775.1 eta_MZ498775.1
MZ498771.1 eta_MZ498771.1
MZ497782.1 eta_MZ497782.1
MZ512948.1 eta_MZ512948.1
MZ530308.1 eta_MZ530308.1
MZ530313.1 eta_MZ530313.1
