MZ166058 gamma_MZ166058
MZ451703.1 gamma_MZ451703.1
MZ061433 gamma_MZ061433
MZ342148 gamma_MZ342148
MZ452011.1 gamma_MZ452011.1
MZ231754 gamma_MZ231754
MZ491056.1 gamma_MZ491056.1
MZ512810.1 gamma_MZ512810.1
MZ061381 gamma_MZ061381
MZ433943.1 gamma_MZ433943.1
MZ284194 gamma_MZ284194
MZ371676 gamma_MZ371676
MZ375976 gamma_MZ375976
MZ236558 gamma_MZ236558
MZ009994 gamma_MZ009994
MZ046436 gamma_MZ046436
MZ277929 gamma_MZ277929
MZ009480 gamma_MZ009480
MZ536582.1 gamma_MZ536582.1
MZ232583 gamma_MZ232583
MZ280765 gamma_MZ280765
MZ002371 gamma_MZ002371
MZ037333 gamma_MZ037333
MZ284764 gamma_MZ284764
MZ414558.1 gamma_MZ414558.1
MZ371368 gamma_MZ371368
MZ240704 gamma_MZ240704
MZ368530 gamma_MZ368530
MZ239782 gamma_MZ239782
MZ141136 gamma_MZ141136
MW990671 gamma_MW990671
MZ164457 gamma_MZ164457
MZ429120.1 gamma_MZ429120.1
MZ322450 gamma_MZ322450
MZ315190 gamma_MZ315190
MZ536602.1 gamma_MZ536602.1
MZ458315.1 gamma_MZ458315.1
MZ232291 gamma_MZ232291
MZ071674 gamma_MZ071674
MZ181867 gamma_MZ181867
MZ432141.1 gamma_MZ432141.1
MZ164450 gamma_MZ164450
MZ317691 gamma_MZ317691
MZ533191.1 gamma_MZ533191.1
MZ342021 gamma_MZ342021
MW965857 gamma_MW965857
MZ279673 gamma_MZ279673
MW966257 gamma_MW966257
MZ386197 gamma_MZ386197
MW964554 gamma_MW964554
MZ368504 gamma_MZ368504
MZ376011 gamma_MZ376011
MZ361953 gamma_MZ361953
MZ532444.1 gamma_MZ532444.1
MZ533517.1 gamma_MZ533517.1
MW966902 gamma_MW966902
MZ255846 gamma_MZ255846
MZ354315 gamma_MZ354315
MZ432469.1 gamma_MZ432469.1
MZ512851.1 gamma_MZ512851.1
MZ236608 gamma_MZ236608
MZ228843 gamma_MZ228843
MZ493978.1 gamma_MZ493978.1
MZ531315.1 gamma_MZ531315.1
MZ213143 gamma_MZ213143
MZ316139 gamma_MZ316139
MZ367627 gamma_MZ367627
MZ533587.1 gamma_MZ533587.1
MZ196136 gamma_MZ196136
MZ238864 gamma_MZ238864
MZ252804 gamma_MZ252804
MZ290180 gamma_MZ290180
MZ358455 gamma_MZ358455
MZ337575 gamma_MZ337575
MZ245610 gamma_MZ245610
MW863079 gamma_MW863079
MZ202055 gamma_MZ202055
MZ009997 gamma_MZ009997
MZ228327 gamma_MZ228327
MZ238684 gamma_MZ238684
MW963473 gamma_MW963473
MZ452008.1 gamma_MZ452008.1
MZ024792 gamma_MZ024792
MZ554095.1 gamma_MZ554095.1
MZ010312 gamma_MZ010312
MZ187866 gamma_MZ187866
MZ554066.1 gamma_MZ554066.1
MZ007205 gamma_MZ007205
MZ180570 gamma_MZ180570
MZ384210 gamma_MZ384210
MZ244485 gamma_MZ244485
MZ290141 gamma_MZ290141
MZ290825 gamma_MZ290825
MZ308115 gamma_MZ308115
MZ536296.1 gamma_MZ536296.1
MZ171806 gamma_MZ171806
MZ210683 gamma_MZ210683
MZ278509 gamma_MZ278509
MZ472680.1 gamma_MZ472680.1
MZ414605.1 gamma_MZ414605.1
MZ166079 gamma_MZ166079
MZ006457 gamma_MZ006457
MZ290226 gamma_MZ290226
MZ415280.1 gamma_MZ415280.1
MZ023297 gamma_MZ023297
MW892120 gamma_MW892120
MZ294167 gamma_MZ294167
MZ072825 gamma_MZ072825
MZ349172 gamma_MZ349172
MZ401508.1 gamma_MZ401508.1
MZ058123 gamma_MZ058123
MZ060768 gamma_MZ060768
MZ202148 gamma_MZ202148
MZ214877 gamma_MZ214877
MZ434910.1 gamma_MZ434910.1
MZ253450 gamma_MZ253450
MZ305357 gamma_MZ305357
MZ349682 gamma_MZ349682
MZ469256.1 gamma_MZ469256.1
MZ185527 gamma_MZ185527
MW990301 gamma_MW990301
MZ033047 gamma_MZ033047
MZ009476 gamma_MZ009476
MZ414934.1 gamma_MZ414934.1
MZ277914 gamma_MZ277914
MZ187769 gamma_MZ187769
MZ281395 gamma_MZ281395
MZ354175 gamma_MZ354175
MZ322449 gamma_MZ322449
MZ453623.1 gamma_MZ453623.1
MZ536576.1 gamma_MZ536576.1
MZ331110 gamma_MZ331110
MZ401548.1 gamma_MZ401548.1
MW914014 gamma_MW914014
MZ264922 gamma_MZ264922
MZ237869 gamma_MZ237869
MZ169607 gamma_MZ169607
MZ240023 gamma_MZ240023
MW964011 gamma_MW964011
MZ385917 gamma_MZ385917
MZ554222.1 gamma_MZ554222.1
MZ212469 gamma_MZ212469
MZ252306 gamma_MZ252306
MZ341142 gamma_MZ341142
MW963438 gamma_MW963438
MZ000153 gamma_MZ000153
MZ215355 gamma_MZ215355
MZ290144 gamma_MZ290144
MZ006934 gamma_MZ006934
MZ142400 gamma_MZ142400
MZ538835.1 gamma_MZ538835.1
MZ058011 gamma_MZ058011
MZ184234 gamma_MZ184234
MZ269765 gamma_MZ269765
MZ538716.1 gamma_MZ538716.1
MW963911 gamma_MW963911
FR990545 gamma_FR990545
MZ401513.1 gamma_MZ401513.1
MZ240532 gamma_MZ240532
MZ228124 gamma_MZ228124
MZ315994 gamma_MZ315994
MZ195583 gamma_MZ195583
MZ268352 gamma_MZ268352
MZ023266 gamma_MZ023266
MZ211148 gamma_MZ211148
MZ009432 gamma_MZ009432
MZ331291 gamma_MZ331291
MZ070283 gamma_MZ070283
MW912118 gamma_MW912118
MZ450167.1 gamma_MZ450167.1
MZ271737 gamma_MZ271737
MZ456544.1 gamma_MZ456544.1
MZ536554.1 gamma_MZ536554.1
MW877187 gamma_MW877187
MZ142387 gamma_MZ142387
MZ133118 gamma_MZ133118
MZ372036 gamma_MZ372036
MZ192446 gamma_MZ192446
MZ228148 gamma_MZ228148
MZ164672 gamma_MZ164672
MZ348330 gamma_MZ348330
MZ566151.1 gamma_MZ566151.1
MZ206667 gamma_MZ206667
MZ038104 gamma_MZ038104
MZ341362 gamma_MZ341362
MZ536575.1 gamma_MZ536575.1
MZ163266 gamma_MZ163266
MZ245326 gamma_MZ245326
MZ291307 gamma_MZ291307
MZ315670 gamma_MZ315670
MZ386305 gamma_MZ386305
MZ240712 gamma_MZ240712
MZ368533 gamma_MZ368533
MZ236338 gamma_MZ236338
MZ214725 gamma_MZ214725
MZ367949 gamma_MZ367949
MZ538698.1 gamma_MZ538698.1
MZ131217 gamma_MZ131217
MZ331307 gamma_MZ331307
MZ371860 gamma_MZ371860
MZ386567 gamma_MZ386567
MZ058125 gamma_MZ058125
MZ023109 gamma_MZ023109
MZ493544.1 gamma_MZ493544.1
MZ320892 gamma_MZ320892
MZ319402 gamma_MZ319402
MZ048492 gamma_MZ048492
MW963220 gamma_MW963220
MW990276 gamma_MW990276
MZ060753 gamma_MZ060753
MZ037690 gamma_MZ037690
MZ282944 gamma_MZ282944
MZ282816 gamma_MZ282816
MZ307116 gamma_MZ307116
MZ371878 gamma_MZ371878
MZ511658.1 gamma_MZ511658.1
MZ232719 gamma_MZ232719
MZ186860 gamma_MZ186860
MZ468038.1 gamma_MZ468038.1
MZ253828 gamma_MZ253828
MZ290662 gamma_MZ290662
MZ187245 gamma_MZ187245
MZ195727 gamma_MZ195727
MZ179956 gamma_MZ179956
MZ341944 gamma_MZ341944
MZ356698 gamma_MZ356698
MZ101169 gamma_MZ101169
MZ185197 gamma_MZ185197
MZ317820 gamma_MZ317820
MZ340977 gamma_MZ340977
MZ132848 gamma_MZ132848
MZ356675 gamma_MZ356675
MZ048485 gamma_MZ048485
MW808135 gamma_MW808135
MZ536378.1 gamma_MZ536378.1
MZ560951.1 gamma_MZ560951.1
MZ142090 gamma_MZ142090
MZ164036 gamma_MZ164036
MZ215278 gamma_MZ215278
MZ315227 gamma_MZ315227
MZ453625.1 gamma_MZ453625.1
MZ494079.1 gamma_MZ494079.1
MZ133039 gamma_MZ133039
MZ241099 gamma_MZ241099
MZ015475 gamma_MZ015475
MZ398897.1 gamma_MZ398897.1
MZ293917 gamma_MZ293917
MZ319439 gamma_MZ319439
MZ290174 gamma_MZ290174
MZ172090 gamma_MZ172090
MZ371118 gamma_MZ371118
MZ554137.1 gamma_MZ554137.1
MZ278225 gamma_MZ278225
MZ429128.1 gamma_MZ429128.1
MW990288 gamma_MW990288
MZ215291 gamma_MZ215291
MZ245119 gamma_MZ245119
MZ185051 gamma_MZ185051
MZ240012 gamma_MZ240012
MZ377953 gamma_MZ377953
MZ009504 gamma_MZ009504
MZ212579 gamma_MZ212579
MZ255699 gamma_MZ255699
MZ023856 gamma_MZ023856
MZ236983 gamma_MZ236983
MZ356664 gamma_MZ356664
MZ169356 gamma_MZ169356
MZ281991 gamma_MZ281991
MZ536552.1 gamma_MZ536552.1
MZ212325 gamma_MZ212325
MZ340810 gamma_MZ340810
MZ099860 gamma_MZ099860
MZ308082 gamma_MZ308082
MZ279409 gamma_MZ279409
MZ058127 gamma_MZ058127
MZ532308.1 gamma_MZ532308.1
MZ228952 gamma_MZ228952
MW990300 gamma_MW990300
MZ153873 gamma_MZ153873
MZ149282 gamma_MZ149282
MZ022200 gamma_MZ022200
MZ186703 gamma_MZ186703
MZ100764 gamma_MZ100764
MZ008574 gamma_MZ008574
MZ315580 gamma_MZ315580
MZ255538 gamma_MZ255538
MZ282797 gamma_MZ282797
MZ356689 gamma_MZ356689
MZ228754 gamma_MZ228754
MZ278413 gamma_MZ278413
MZ451807.1 gamma_MZ451807.1
MZ567284.1 gamma_MZ567284.1
MZ100312 gamma_MZ100312
MZ188565 gamma_MZ188565
MZ451883.1 gamma_MZ451883.1
MZ316549 gamma_MZ316549
MZ356655 gamma_MZ356655
MZ394390.1 gamma_MZ394390.1
MW990298 gamma_MW990298
MZ202074 gamma_MZ202074
MZ307905 gamma_MZ307905
MZ536292.1 gamma_MZ536292.1
MZ054855 gamma_MZ054855
MZ232869 gamma_MZ232869
MZ390208 gamma_MZ390208
MZ037737 gamma_MZ037737
MZ280681 gamma_MZ280681
MZ180658 gamma_MZ180658
MZ337588 gamma_MZ337588
MZ290168 gamma_MZ290168
MZ372625 gamma_MZ372625
MZ164495 gamma_MZ164495
MZ214893 gamma_MZ214893
MZ255136 gamma_MZ255136
MZ192450 gamma_MZ192450
MZ238002 gamma_MZ238002
MW909199 gamma_MW909199
MZ180716 gamma_MZ180716
MZ383043 gamma_MZ383043
MZ228094 gamma_MZ228094
MZ228165 gamma_MZ228165
MZ083593 gamma_MZ083593
MZ319437 gamma_MZ319437
MZ268287 gamma_MZ268287
MZ142196 gamma_MZ142196
MZ164431 gamma_MZ164431
MZ206656 gamma_MZ206656
MZ222417 gamma_MZ222417
MZ281338 gamma_MZ281338
MZ358704 gamma_MZ358704
MZ206217 gamma_MZ206217
MZ376546 gamma_MZ376546
MZ566336.1 gamma_MZ566336.1
MZ186079 gamma_MZ186079
MZ377452 gamma_MZ377452
