MZ290450 iota_MZ290450
MZ012016 iota_MZ012016
MZ143303 iota_MZ143303
MZ331228 iota_MZ331228
MZ455039.1 iota_MZ455039.1
MW891816 iota_MW891816
MZ076509 iota_MZ076509
MW891101 iota_MW891101
MZ231888 iota_MZ231888
MZ337117 iota_MZ337117
MW945228 iota_MW945228
MZ257812 iota_MZ257812
MZ450162.1 iota_MZ450162.1
MZ083563 iota_MZ083563
MZ212055 iota_MZ212055
MZ237894 iota_MZ237894
MZ375682 iota_MZ375682
MZ434587.1 iota_MZ434587.1
MZ253073 iota_MZ253073
MZ282392 iota_MZ282392
MW901891 iota_MW901891
MZ259374 iota_MZ259374
MZ454825.1 iota_MZ454825.1
MZ075315 iota_MZ075315
MZ207668 iota_MZ207668
MZ164850 iota_MZ164850
MZ237606 iota_MZ237606
MZ085347 iota_MZ085347
MZ341963 iota_MZ341963
MZ366694 iota_MZ366694
MZ211478 iota_MZ211478
MZ491647.1 iota_MZ491647.1
MZ210209 iota_MZ210209
MZ256571 iota_MZ256571
MZ009511 iota_MZ009511
MZ084163 iota_MZ084163
MZ210242 iota_MZ210242
MZ244807 iota_MZ244807
MZ288187 iota_MZ288187
MZ035340 iota_MZ035340
MZ166760 iota_MZ166760
MZ074713 iota_MZ074713
MZ217540 iota_MZ217540
MZ076131 iota_MZ076131
MZ153719 iota_MZ153719
MW930017 iota_MW930017
MZ499915.1 iota_MZ499915.1
MZ274594 iota_MZ274594
MW986290 iota_MW986290
MZ281121 iota_MZ281121
MZ531494.1 iota_MZ531494.1
MZ180289 iota_MZ180289
MZ179607 iota_MZ179607
MZ064680 iota_MZ064680
MZ253594 iota_MZ253594
MZ071069 iota_MZ071069
MZ280490 iota_MZ280490
MZ216995 iota_MZ216995
MW986110 iota_MW986110
MZ025785 iota_MZ025785
MZ315715 iota_MZ315715
MZ210257 iota_MZ210257
MZ341306 iota_MZ341306
MW942948 iota_MW942948
MZ207523 iota_MZ207523
MZ196109 iota_MZ196109
MZ256321 iota_MZ256321
MW986492 iota_MW986492
MZ001037 iota_MZ001037
MZ082859 iota_MZ082859
MZ238489 iota_MZ238489
MZ038622 iota_MZ038622
MZ455590.1 iota_MZ455590.1
MW891122 iota_MW891122
MZ143195 iota_MZ143195
MZ238457 iota_MZ238457
MZ086417 iota_MZ086417
MZ161297 iota_MZ161297
MZ201783 iota_MZ201783
MZ152484 iota_MZ152484
MW891476 iota_MW891476
MW941112 iota_MW941112
MW969423 iota_MW969423
MZ282489 iota_MZ282489
MZ337272 iota_MZ337272
MZ060174 iota_MZ060174
MZ034957 iota_MZ034957
MZ184806 iota_MZ184806
MZ188006 iota_MZ188006
MZ257037 iota_MZ257037
MW959665 iota_MW959665
MZ286688 iota_MZ286688
MZ025419 iota_MZ025419
MZ023796 iota_MZ023796
MZ061373 iota_MZ061373
MZ236930 iota_MZ236930
MZ225772 iota_MZ225772
MZ167947 iota_MZ167947
MZ059690 iota_MZ059690
MW930759 iota_MW930759
MW834842 iota_MW834842
MZ531333.1 iota_MZ531333.1
MZ053632 iota_MZ053632
MW988652 iota_MW988652
MZ025687 iota_MZ025687
MZ281781 iota_MZ281781
MZ038807 iota_MZ038807
MW901822 iota_MW901822
MZ160408 iota_MZ160408
MZ211391 iota_MZ211391
MZ237989 iota_MZ237989
MW768077 iota_MW768077
MZ000613 iota_MZ000613
MZ225989 iota_MZ225989
MZ257777 iota_MZ257777
MZ554345.1 iota_MZ554345.1
MZ497659.1 iota_MZ497659.1
MZ141647 iota_MZ141647
MZ499360.1 iota_MZ499360.1
MZ101757 iota_MZ101757
MZ500164.1 iota_MZ500164.1
MZ039189 iota_MZ039189
MZ090421 iota_MZ090421
MZ281236 iota_MZ281236
MZ331161 iota_MZ331161
MZ034619 iota_MZ034619
MZ376115 iota_MZ376115
MZ086453 iota_MZ086453
MZ257250 iota_MZ257250
MZ071138 iota_MZ071138
MZ226133 iota_MZ226133
MZ146108 iota_MZ146108
MZ279108 iota_MZ279108
MW931085 iota_MW931085
MZ071391 iota_MZ071391
MZ294290 iota_MZ294290
MZ358677 iota_MZ358677
MZ181429 iota_MZ181429
MZ029960 iota_MZ029960
MZ282965 iota_MZ282965
MW989810 iota_MW989810
MZ011030 iota_MZ011030
MZ349807 iota_MZ349807
MW796748 iota_MW796748
MZ009782 iota_MZ009782
MZ039320 iota_MZ039320
MZ187591 iota_MZ187591
MZ260045 iota_MZ260045
MZ143139 iota_MZ143139
MZ294728 iota_MZ294728
MZ070964 iota_MZ070964
MZ059381 iota_MZ059381
MZ009416 iota_MZ009416
MZ188614 iota_MZ188614
MZ226163 iota_MZ226163
MZ059286 iota_MZ059286
MZ075670 iota_MZ075670
MZ256334 iota_MZ256334
MW991181 iota_MW991181
MZ498647.1 iota_MZ498647.1
MW939897 iota_MW939897
MW974928 iota_MW974928
MZ039405 iota_MZ039405
MZ025524 iota_MZ025524
MZ191929 iota_MZ191929
MZ258559 iota_MZ258559
MZ259359 iota_MZ259359
MZ100813 iota_MZ100813
MZ279265 iota_MZ279265
MZ189647 iota_MZ189647
MW931513 iota_MW931513
MZ145940 iota_MZ145940
MZ039186 iota_MZ039186
MW892698 iota_MW892698
MZ270314 iota_MZ270314
MZ410077.1 iota_MZ410077.1
MZ036723 iota_MZ036723
MZ202097 iota_MZ202097
MW976742 iota_MW976742
MW985455 iota_MW985455
MW993449 iota_MW993449
MZ154182 iota_MZ154182
MZ181897 iota_MZ181897
MZ185673 iota_MZ185673
MZ268275 iota_MZ268275
MZ308333 iota_MZ308333
MW945217 iota_MW945217
MZ341752 iota_MZ341752
MZ161441 iota_MZ161441
MZ000462 iota_MZ000462
MW966464 iota_MW966464
MW945035 iota_MW945035
MZ013283 iota_MZ013283
MZ084976 iota_MZ084976
MZ294726 iota_MZ294726
MZ415645.1 iota_MZ415645.1
MZ386493 iota_MZ386493
MZ143588 iota_MZ143588
MZ358799 iota_MZ358799
MZ074893 iota_MZ074893
MZ030126 iota_MZ030126
MZ349626 iota_MZ349626
MW990792 iota_MW990792
MW975526 iota_MW975526
MZ153674 iota_MZ153674
MW975686 iota_MW975686
MZ239994 iota_MZ239994
MZ199005 iota_MZ199005
MZ262482 iota_MZ262482
MW929993 iota_MW929993
MW975575 iota_MW975575
MZ023014 iota_MZ023014
MZ211336 iota_MZ211336
MZ372131 iota_MZ372131
MW966233 iota_MW966233
MW985922 iota_MW985922
MZ141526 iota_MZ141526
MZ236681 iota_MZ236681
MZ440627.1 iota_MZ440627.1
MZ315241 iota_MZ315241
MZ034775 iota_MZ034775
MW863086 iota_MW863086
MZ268360 iota_MZ268360
MZ278408 iota_MZ278408
MW987406 iota_MW987406
MZ213361 iota_MZ213361
MZ259500 iota_MZ259500
MZ006898 iota_MZ006898
MZ237245 iota_MZ237245
MZ029299 iota_MZ029299
MZ279415 iota_MZ279415
MZ207050 iota_MZ207050
MW987390 iota_MW987390
MZ307876 iota_MZ307876
MZ253033 iota_MZ253033
MZ000565 iota_MZ000565
MZ037489 iota_MZ037489
MZ316561 iota_MZ316561
MZ384262 iota_MZ384262
MZ210133 iota_MZ210133
MZ294100 iota_MZ294100
MZ188597 iota_MZ188597
MZ000642 iota_MZ000642
MW880517 iota_MW880517
MZ102106 iota_MZ102106
MW975204 iota_MW975204
MZ279658 iota_MZ279658
MZ390096 iota_MZ390096
MW989789 iota_MW989789
MZ238950 iota_MZ238950
MZ254305 iota_MZ254305
MZ053638 iota_MZ053638
MW930114 iota_MW930114
MZ238759 iota_MZ238759
MW891315 iota_MW891315
MZ034839 iota_MZ034839
MZ282070 iota_MZ282070
MW964962 iota_MW964962
MZ074904 iota_MZ074904
MZ252713 iota_MZ252713
MW902593 iota_MW902593
MW901766 iota_MW901766
MW932096 iota_MW932096
MZ004899 iota_MZ004899
MZ075059 iota_MZ075059
MZ168514 iota_MZ168514
MZ187349 iota_MZ187349
MW975419 iota_MW975419
MW915131 iota_MW915131
MZ455142.1 iota_MZ455142.1
MW930126 iota_MW930126
MZ212556 iota_MZ212556
MZ500950.1 iota_MZ500950.1
MZ060107 iota_MZ060107
MW903414 iota_MW903414
MZ154203 iota_MZ154203
MZ227920 iota_MZ227920
MW987142 iota_MW987142
MZ232256 iota_MZ232256
MZ131834 iota_MZ131834
MZ142477 iota_MZ142477
MZ184060 iota_MZ184060
MW991170 iota_MW991170
MZ061436 iota_MZ061436
MZ319519 iota_MZ319519
MW976570 iota_MW976570
MZ539201.1 iota_MZ539201.1
MZ037439 iota_MZ037439
MZ258506 iota_MZ258506
MW901811 iota_MW901811
MZ132502 iota_MZ132502
MZ294119 iota_MZ294119
MW969407 iota_MW969407
MZ141111 iota_MZ141111
MZ101443 iota_MZ101443
MZ195849 iota_MZ195849
MZ196087 iota_MZ196087
MZ024110 iota_MZ024110
MZ035140 iota_MZ035140
MZ237978 iota_MZ237978
MZ257559 iota_MZ257559
MZ153691 iota_MZ153691
MZ061141 iota_MZ061141
MZ060662 iota_MZ060662
MZ565830.1 iota_MZ565830.1
MW891352 iota_MW891352
MZ164774 iota_MZ164774
MZ448965.1 iota_MZ448965.1
MW975776 iota_MW975776
MZ025586 iota_MZ025586
MZ376216 iota_MZ376216
MW902581 iota_MW902581
MZ084301 iota_MZ084301
MZ053668 iota_MZ053668
MZ259101 iota_MZ259101
MZ288506 iota_MZ288506
MZ023006 iota_MZ023006
MW891397 iota_MW891397
MW986085 iota_MW986085
MZ179337 iota_MZ179337
MZ084675 iota_MZ084675
MZ254375 iota_MZ254375
MZ252281 iota_MZ252281
MZ082861 iota_MZ082861
MZ141641 iota_MZ141641
MZ009885 iota_MZ009885
MZ245169 iota_MZ245169
MZ280338 iota_MZ280338
MZ358475 iota_MZ358475
MZ282502 iota_MZ282502
MW942653 iota_MW942653
MZ013726 iota_MZ013726
MZ006911 iota_MZ006911
MZ280052 iota_MZ280052
MW969161 iota_MW969161
MZ280841 iota_MZ280841
MZ211366 iota_MZ211366
MZ210898 iota_MZ210898
MZ307939 iota_MZ307939
MZ390701 iota_MZ390701
MZ260217 iota_MZ260217
MZ073406 iota_MZ073406
MZ083305 iota_MZ083305
MZ180264 iota_MZ180264
MZ206184 iota_MZ206184
MZ086726 iota_MZ086726
MZ415169.1 iota_MZ415169.1
MZ021728 iota_MZ021728
MZ214746 iota_MZ214746
MZ390608 iota_MZ390608
MW964617 iota_MW964617
MZ100791 iota_MZ100791
MZ149492 iota_MZ149492
MZ055311 iota_MZ055311
MW959563 iota_MW959563
MZ156750 iota_MZ156750
MZ071278 iota_MZ071278
MZ531035.1 iota_MZ531035.1
MZ083304 iota_MZ083304
MZ022244 iota_MZ022244
MW882040 iota_MW882040
MZ318902 iota_MZ318902
MZ181578 iota_MZ181578
MZ186638 iota_MZ186638
MZ045323 iota_MZ045323
MZ433155.1 iota_MZ433155.1
MZ349265 iota_MZ349265
MZ071565 iota_MZ071565
MZ278395 iota_MZ278395
MZ213257 iota_MZ213257
MZ206233 iota_MZ206233
MZ260323 iota_MZ260323
MZ062131 iota_MZ062131
MZ500409.1 iota_MZ500409.1
MZ036102 iota_MZ036102
MZ415253.1 iota_MZ415253.1
MZ405310.1 iota_MZ405310.1
MZ467869.1 iota_MZ467869.1
MZ317781 iota_MZ317781
MZ133146 iota_MZ133146
MZ180243 iota_MZ180243
MZ242637 iota_MZ242637
MZ363291 iota_MZ363291
MZ212842 iota_MZ212842
MW985302 iota_MW985302
MZ025634 iota_MZ025634
MZ237549 iota_MZ237549
MZ011183 iota_MZ011183
MZ141871 iota_MZ141871
MZ143774 iota_MZ143774
MZ288089 iota_MZ288089
MZ038200 iota_MZ038200
MZ072506 iota_MZ072506
MZ145588 iota_MZ145588
MZ059722 iota_MZ059722
MZ160409 iota_MZ160409
MW990352 iota_MW990352
