	Accession.ID	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
109	LC638684.1	TKYTK11623_2021	GenBank	NA	B.1.1.7	Complete	29881	High	0/0/-/-/-	Homo sapiens	2021-05	Japan	 	2021-07-07	 	2021-07-09 17:58:44	2021-07-12 19:00:35	alpha
3419	MW485302	SARS-CoV-2/human/USA/CA-CDC-STM-126/2020	GenBank	EPI_ISL_802625	B.1.1.7	Complete	29850	High	9/0/-/-/-	Homo Sapiens	2020-12-30	United States / California	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	alpha
3420	MW485323	SARS-CoV-2/human/USA/FL-CDC-STM-115/2020	GenBank	EPI_ISL_802641	B.1.1.7	Complete	29866	High	5/0/-/-/-	Homo Sapiens	2020-12-29	United States / Florida	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	alpha
3425	MW485378	SARS-CoV-2/human/USA/FL-CDC-STM-033/2020	GenBank	EPI_ISL_802631	B.1.1.7	Complete	29862	High	8/0/-/-/-	Homo Sapiens	2020-12-27	United States / Florida	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	alpha
3570	MW518236	SARS-CoV-2/human/USA/CA-CDC-STM-156/2020	GenBank	EPI_ISL_850633	B.1.1.7	Complete	29863	High	5/0/-/-/-	Homo Sapiens	2020-12-31	United States / California	Helix/Illumina	2021-01-20	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-21 14:03:01	2021-03-16 10:46:59	alpha
3576	MW518824	SARS-CoV-2/human/USA/CA-CDC-STM-232/2021	GenBank	EPI_ISL_851022	B.1.1.7	Complete	29813	High	9/0/-/-/-	Homo Sapiens	2021-01-02	United States / California	Helix/Illumina	2021-01-20	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-21 14:03:01	2021-03-16 10:46:59	alpha
3601	MW519832	SARS-CoV-2/human/USA/FL-CDC-STM-A100199/2021	GenBank	EPI_ISL_850904	B.1.1.7	Complete	29837	High	8/0/-/-/-	Homo Sapiens	2021-01-03	United States / Florida	Helix / Illumina	2021-01-20	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-21 14:03:01	2021-03-16 10:46:59	alpha
3686	MW524867	SARS-CoV-2/human/USA/FL-CDC-STM-0000013G12/2021	GenBank	 	B.1.1.7	Complete	29837	High	9/0/-/-/-	Homo sapiens	2021-01-15	United States / Florida	 	2021-01-26	Respiratory Viruses Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30329, USA	2021-01-27 07:40:21	2021-03-16 10:46:59	alpha
3972	MW583430	SARS-CoV-2/human/USA/TN-CDC-9NLO-9129/2021	GenBank	EPI_ISL_955310	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo Sapiens	2021-01-23	United States / Tennessee	TN Division of Laboratory Services	2021-02-08	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-11 09:53:43	2021-03-16 10:46:59	alpha
4046	MW586599	SARS-CoV-2/human/USA/CA-CDC-STM-000002920/2021	GenBank	EPI_ISL_966505	B.1.1.7	Complete	29859	High	9/0/-/-/-	Homo sapiens	2021-01-17	United States / California	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4047	MW586607	SARS-CoV-2/human/USA/FL-CDC-STM-000003068/2021	GenBank	EPI_ISL_966511	B.1.1.7	Complete	29860	High	9/0/-/-/-	Homo sapiens	2021-01-16	United States / Florida	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4048	MW586636	SARS-CoV-2/human/USA/GA-CDC-STM-000002405/2021	GenBank	EPI_ISL_966544	B.1.1.7	Complete	29876	High	9/0/-/-/-	Homo sapiens	2021-01-12	United States / Georgia	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4049	MW586658	SARS-CoV-2/human/USA/FL-CDC-STM-000003675/2021	GenBank	EPI_ISL_966569	B.1.1.7	Complete	29854	High	9/0/-/-/-	Homo sapiens	2021-01-19	United States / Florida	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4050	MW586672	SARS-CoV-2/human/USA/FL-CDC-STM-000003549/2021	GenBank	EPI_ISL_966599	B.1.1.7	Complete	29863	High	9/0/-/-/-	Homo sapiens	2021-01-18	United States / Florida	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4051	MW586690	SARS-CoV-2/human/USA/FL-CDC-STM-000003159/2021	GenBank	EPI_ISL_966601	B.1.1.7	Complete	29856	High	9/0/-/-/-	Homo sapiens	2021-01-15	United States / Florida	 	2021-02-10	 	2021-02-11 09:53:44	2021-03-16 10:46:59	alpha
4215	MW596237	SARS-CoV-2/human/IND/GBRC451/2020	GenBank	 	B.1.1.7	Complete	29782	High	0/0/-/-/-	Homo sapiens	2020-12-24	India / Ahmedabad	 	2021-02-12	 	2021-02-13 07:16:20	2021-03-16 10:46:59	alpha
4262	MW626451	SARS-CoV-2/human/USA/FL-CDC-STM-000005345/2021	GenBank	EPI_ISL_1016776	B.1.1.7	Complete	29841	High	5/0/-/-/-	Homo Sapiens	2021-01-23	United States / Florida	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4263	MW626465	SARS-CoV-2/human/USA/TX-CDC-STM-000005619/2021	GenBank	EPI_ISL_1016806	B.1.1.7	Complete	29839	High	9/0/-/-/-	Homo Sapiens	2021-01-26	United States / Texas	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4264	MW626477	SARS-CoV-2/human/USA/FL-CDC-STM-000005695/2021	GenBank	EPI_ISL_1016728	B.1.1.7	Complete	29862	High	9/0/-/-/-	Homo Sapiens	2021-01-27	United States / Florida	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4265	MW626520	SARS-CoV-2/human/USA/FL-CDC-STM-000005854/2021	GenBank	EPI_ISL_1016743	B.1.1.7	Complete	29859	High	9/0/-/-/-	Homo Sapiens	2021-01-27	United States / Florida	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4266	MW626523	SARS-CoV-2/human/USA/PA-CDC-STM-000005808/2021	GenBank	EPI_ISL_1016802	B.1.1.7	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-01-27	United States / Pennsylvania	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4267	MW626557	SARS-CoV-2/human/USA/FL-CDC-STM-000005972/2021	GenBank	EPI_ISL_1016722	B.1.1.7	Complete	29858	High	9/0/-/-/-	Homo Sapiens	2021-01-28	United States / Florida	Helix/Illumina	2021-02-17	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-02-19 13:28:36	2021-03-16 10:46:59	alpha
4835	MW662142	SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-TRA-138/2021	GenBank	NA	B.1.1.7	Complete	29757	High	0/6/-/-/-	Homo sapiens	2021-01-10	Ghana	 	2021-02-25	 	2021-02-26 06:07:16	2021-03-16 10:46:59	alpha
4837	MW662546	SARS-CoV-2/human/USA/FL-CDC-STM-000008475/2021	GenBank	EPI_ISL_1081074	B.1.1.7	Complete	29850	High	9/0/-/-/-	Homo sapiens	2021-02-01	United States / Florida	 	2021-02-25	 	2021-02-26 06:07:16	2021-03-16 10:46:59	alpha
5237	MW684649	SARS-CoV-2/human/USA/CO-CDPHE-2100389488/2021	GenBank	EPI_ISL_1097585	B.1.1.7	Complete	29822	High	1/0/-/-/-	Homo Sapiens	2021-02-09	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-01	Colorado Department of Puplic Health and Environment	2021-03-02 12:41:25	2021-03-16 10:46:59	alpha
5255	MW689688	SARS-CoV-2/human/USA/FL-BPHL-0614/2021	GenBank	EPI_ISL_1132191	B.1.1.7	Complete	29813	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / FL	 	2021-03-03	 	2021-03-04 15:22:51	2021-03-16 10:46:59	alpha
