MN908947 B.1_MN908947
MT994905 B.1_MT994905
MW838287 B.1.2_MW838287
MN938384 A_MN938384
MW190842 B.1.391_MW190842
MW708540 B.1.243_MW708540
MN975262 A_MN975262
MW942472 R.1_MW942472
MN985325 A_MN985325
MN994467 A_MN994467
MN994468 B_MN994468
MN997409 A_MN997409
MT969475 D.2_MT969475
MN988668 B_MN988668
MW808921 B.1.2_MW808921
MN988669 B_MN988669
MT007544 B_MT007544
MW715441 B.1.2_MW715441
MZ060955 B.1.1.519_MZ060955
MW154559 D.2_MW154559
MT627425 B.40_MT627425
MZ258515 B.1.2_MZ258515
MT970715 D.2_MT970715
MW773275 B.1.2_MW773275
MT262901 A.1_MT262901
MW792827 B.1.2_MW792827
MW989011 B.1.2_MW989011
MW067768 B.1.546_MW067768
MT263438 B.1_MT263438
MW449293 B.1.2_MW449293
MZ494640.1 B.1.1_MZ494640.1
MZ494389.1 B.1.493_MZ494389.1
MW279428 B.1.265_MW279428
MW190328 B.1.110_MW190328
MZ376869 B.1.2_MZ376869
MZ490191.1 B.1.609_MZ490191.1
MW566889 B.1_MW566889
MW157049 D.2_MW157049
MZ471932.1 B.1.499_MZ471932.1
MW708561 B.1.561_MW708561
MT968070 B.1_MT968070
MW669184 B.1.2_MW669184
MW780486 B.1.1.519_MW780486
MT843298 B.1.413_MT843298
MW864512 B.1.2_MW864512
MZ097539 B.1.1.519_MZ097539
MW549689 B.1.2_MW549689
MW772444 B.1.243_MW772444
MW040673 B.1_MW040673
MW064683 B.1.1_MW064683
MW944826 R.1_MW944826
MT627236 A.1_MT627236
MW030257 C.14_MW030257
MZ518157.1 B.1.595_MZ518157.1
MZ310297 B.1.1.519_MZ310297
MT873235 B.1_MT873235
MZ012176 B.1.1.519_MZ012176
MT358687 A.1_MT358687
MW805095 B.1.2_MW805095
MW851473 B.1.1.519_MW851473
MW851025 B.1.1.519_MW851025
MZ238309 B.1.1.519_MZ238309
MZ158909 B.1.575_MZ158909
MZ313030 B.1.243_MZ313030
MW705526 B.1.2_MW705526
MW938688 B.1.131_MW938688
MT459848 B.1.1_MT459848
MT642222 A.1_MT642222
MT873281 B.1_MT873281
MW528793 B.1.2_MW528793
MW985443 R.1_MW985443
MW519701 B.1.2_MW519701
