Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Mexico/CDMX-InDRE_01/2020	EPI_ISL_412972	GISAID		B.1.1	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-02-27	Mexico / Mexico City	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-03-01	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-03-02 03:55:57	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INER_01/2020	EPI_ISL_424345	GISAID	 	B.1	Complete	29864	Low	211/1/NA/NA/NA	Homo sapiens	2020-03-12	Mexico / Mexico City	Instituto Nacional de Enfermedades Respiratorias	2020-04-12	Instituto Nacional de Enfermedades Respiratorias	2020-04-14 07:38:41	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INER_02/2020	EPI_ISL_424348	GISAID	 	B.1	Complete	29866	Low	395/0/NA/NA/NA	Homo sapiens	2020-03-13	Mexico / Mexico City	Instituto Nacional de Enfermedades Respiratorias	2020-04-13	Instituto Nacional de Enfermedades Respiratorias	2020-04-14 07:38:42	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INER_03/2020	EPI_ISL_424625	GISAID	 	B.1	Complete	29892	Low	4616/5/NA/NA/NA	Homo sapiens	2020-03-13	Mexico / Mexico City	Instituto Nacional de Enfermedades Respiratorias	2020-04-13	Instituto Nacional de Enfermedades Respiratorias	2020-04-14 07:38:46	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INER_04/2020	EPI_ISL_424626	GISAID	 	B.1.201	Complete	29855	High	0/0/-/-/-	Homo sapiens	2020-03-15	Mexico / Mexico City	Instituto Nacional de Enfermedades Respiratorias	2020-04-13	Instituto Nacional de Enfermedades Respiratorias	2020-04-14 07:38:46	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INER_05/2020	EPI_ISL_424627	GISAID	 	A.1	Complete	29872	Low	45/0/NA/NA/NA	Homo sapiens	2020-03-16	Mexico / Mexico City	Instituto Nacional de Enfermedades Respiratorias	2020-04-13	Instituto Nacional de Enfermedades Respiratorias	2020-04-14 07:38:46	2021-03-16 10:46:59
hCoV-19/Mexico/Chiapas-InDRE_02/2020	EPI_ISL_424666	GISAID	 	B.1.1	Complete	29902	Low	4807/9/NA/NA/NA	Homo sapiens	2020-02-29	Mexico / Chiapas	Instituto de Diagnóstico y Referencia Epidemiológicos	2020-04-13	Instituto de Diagnóstico y Referencia Epidemiológicos	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/EdoMex-InDRE_03/2020	EPI_ISL_424667	GISAID	 	A.5	Complete	29873	High	0/0/-/-/-	Homo sapiens	2020-03-04	Mexico / Estado de Mexico	Instituto de Diagnóstico y Referencia Epidemiológicos	2020-04-13	Instituto de Diagnóstico y Referencia Epidemiológicos	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/Queretaro-InDRE_04/2020	EPI_ISL_424670	GISAID	 	A.5	Complete	29874	High	0/0/-/-/-	Homo sapiens	2020-03-10	Mexico / Queretaro	Instituto de Diagnóstico y Referencia Epidemiologicos	2020-04-13	Instituto de Diagnóstico y Referencia Epidemiologicos	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/Puebla-InDRE_05/2020	EPI_ISL_424672	GISAID	 	B.1	Complete	29873	High	0/0/-/-/-	Homo sapiens	2020-03-11	Mexico / Puebla	Instituto de Diagnostico y Referencia Epidemiologicos	2020-04-13	Instituto de Diagnostico y Referencia Epidemiologicos	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_06/2020	EPI_ISL_424673	GISAID	 	A.1	Complete	29879	High	0/0/-/-/-	Homo sapiens	2020-03-12	Mexico / CDMX	Instituto de Diagnostico y Referencia Epidemiologicos	2020-04-13	Instituto de Diagnostico y Referencia Epidemiologicos	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/Chihuahua-IMSS_01/2020	EPI_ISL_424731	GISAID	 	B.1	Complete	29870	Low	2749/1/NA/NA/NA	Homo sapiens	2020-03-13	Mexico / Chihuahua	Laboratorio Central de Epidemiología-DLVIE / Laboratorio de Secuenciación-Centro de Instrumentos. Instituto Mexicano del Seguro Social	2020-04-13	Laboratorio Central de Epidemiología-DLVIE / Laboratorio de Secuenciación-Centro de Instrumentos. Instituto Mexicano del Seguro Social	2020-04-14 07:38:47	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INCMNSZ_01/2020	EPI_ISL_426361	GISAID	 	A.1	Complete	29873	High	8/0/-/-/-	Homo Sapiens	2020-03-12	Mexico / Mexico City	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-16	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-17 06:20:19	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INCMNSZ_02/2020	EPI_ISL_426362	GISAID	 	A.2	Complete	29872	High	0/0/-/-/-	Homo Sapiens	2020-03-10	Mexico / Mexico City	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-16	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-17 06:20:19	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INCMNSZ_03/2020	EPI_ISL_426363	GISAID	 	A.1	Complete	29875	High	0/0/-/-/-	Homo Sapiens	2020-03-12	Mexico / Mexico City	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-16	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-17 06:20:19	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INCMNSZ_04/2020	EPI_ISL_426364	GISAID	 	A.1	Complete	29875	High	0/0/-/-/-	Homo Sapiens	2020-03-12	Mexico / Mexico City	Instituto Nacional de Ciencias Medicas y Nutricion	2020-04-16	Instituto Nacional de Ciencias Medicas y Nutricion	2020-04-17 06:20:19	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-INCMNSZ_05/2020	EPI_ISL_426365	GISAID	 	B.1	Complete	29871	Low	160/3/NA/NA/NA	Homo Sapiens	2020-03-12	Mexico / Mexico City	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-16	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran	2020-04-17 06:20:19	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_09/2020	EPI_ISL_455432	GISAID	 	A.1	Complete	29821	Low	1194/0/NA/NA/NA	Homo Sapiens	2020-03-11	Mexico / Durango	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_10/2020	EPI_ISL_455434	GISAID	 	B.1	Complete	29847	High	0/0/-/-/-	Homo Sapiens 	2020-03-13	Mexico / Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_11/2020	EPI_ISL_455435	GISAID	 	B	Complete	29836	Low	132/0/NA/NA/NA	Homo Sapiens	2020-03-20	Mexico / Jalisco	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_12/2020	EPI_ISL_455436	GISAID	 	B.1	Complete	29842	High	11/0/-/-/-	Homo Sapiens	2020-03-12	Mexico / CDMX	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_13/2020	EPI_ISL_455437	GISAID	 	B.1.609	Complete	29820	Low	73/0/NA/NA/NA	Homo Sapiens	2020-03-21	Mexico / CDMX	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_14/2020	EPI_ISL_455438	GISAID	 	B.1	Complete	29817	High	0/0/-/-/-	Homo Sapiens	2020-03-14	Mexico / Quintana Roo	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_15/2020	EPI_ISL_455439	GISAID	 	A.1	Complete	29854	High	0/0/-/-/-	Homo Sapiens	2020-03-11	Mexico / CDMX	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_16/2020	EPI_ISL_455454	GISAID	 	B	Complete	29816	Low	598/0/NA/NA/NA	Homo Sapiens	2020-03-18	Mexico / Jalisco	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_17/2020	EPI_ISL_455455	GISAID	 	B.1.1	Complete	29832	High	0/0/-/-/-	Homo Sapiens	2020-03-14	Mexico / Puebla	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
hCoV-19/Mexico/CDMX-InDRE_18/2020	EPI_ISL_455456	GISAID	 	A.5	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2020-03-12	Mexico / Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-29	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-05-30 05:45:06	2021-03-16 10:46:59
SARS-CoV-2/humans/MEX/InDRE_3977/2020	MT729361	GenBank	EPI_ISL_485602	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-07	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:46	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_3996/2020	MT729362	GenBank	EPI_ISL_485578	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-04	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:46	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5279/2020	MT729363	GenBank	EPI_ISL_485579	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-13	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:46	2021-03-16 10:46:59
