MW750027 delta_MW750027
MW750080 delta_MW750080
MW891208 delta_MW891208
MW931310 delta_MW931310
MW966801 delta_MW966801
MZ236837 delta_MZ236837
MZ075568 delta_MZ075568
MZ009768 delta_MZ009768
MZ009823 delta_MZ009823
MZ010169 delta_MZ010169
MZ025880 delta_MZ025880
MZ027056 delta_MZ027056
MZ028778 delta_MZ028778
MZ035696 delta_MZ035696
MZ038694 delta_MZ038694
MZ039347 delta_MZ039347
MZ059870 delta_MZ059870
MZ060050 delta_MZ060050
MZ060690 delta_MZ060690
MZ060904 delta_MZ060904
MZ061050 delta_MZ061050
MZ069676 delta_MZ069676
MZ070005 delta_MZ070005
MZ071489 delta_MZ071489
MZ071641 delta_MZ071641
MZ071647 delta_MZ071647
MZ071677 delta_MZ071677
MZ072282 delta_MZ072282
MZ072348 delta_MZ072348
MZ072679 delta_MZ072679
MZ073096 delta_MZ073096
MZ073264 delta_MZ073264
MZ082533 delta_MZ082533
MZ084552 delta_MZ084552
MZ088006 delta_MZ088006
MZ100817 delta_MZ100817
MZ101179 delta_MZ101179
MZ131185 delta_MZ131185
MZ132139 delta_MZ132139
MZ132382 delta_MZ132382
MZ132413 delta_MZ132413
MZ132452 delta_MZ132452
MZ132789 delta_MZ132789
MZ132915 delta_MZ132915
MZ133011 delta_MZ133011
MZ133035 delta_MZ133035
MZ140719 delta_MZ140719
MZ140752 delta_MZ140752
MZ141049 delta_MZ141049
MZ141379 delta_MZ141379
MZ141587 delta_MZ141587
MZ141708 delta_MZ141708
MZ141921 delta_MZ141921
MZ142342 delta_MZ142342
MZ142412 delta_MZ142412
MZ142434 delta_MZ142434
MZ142452 delta_MZ142452
MZ142483 delta_MZ142483
MZ142951 delta_MZ142951
MZ143159 delta_MZ143159
MZ143170 delta_MZ143170
MZ143295 delta_MZ143295
MZ143309 delta_MZ143309
MZ143635 delta_MZ143635
MZ233129 delta_MZ233129
MZ231763 delta_MZ231763
MZ231834 delta_MZ231834
MZ231839 delta_MZ231839
MZ231854 delta_MZ231854
MZ231856 delta_MZ231856
MZ164574 delta_MZ164574
MZ240595 delta_MZ240595
MZ240681 delta_MZ240681
MZ233016 delta_MZ233016
MZ151982 delta_MZ151982
MZ144340 delta_MZ144340
MZ152952 delta_MZ152952
MZ155969 delta_MZ155969
MZ152940 delta_MZ152940
MZ153578 delta_MZ153578
MZ154309 delta_MZ154309
MZ153512 delta_MZ153512
MZ153596 delta_MZ153596
MZ154223 delta_MZ154223
MZ154427 delta_MZ154427
MZ153711 delta_MZ153711
MZ153776 delta_MZ153776
MZ154587 delta_MZ154587
MZ377102 delta_MZ377102
MZ169570 delta_MZ169570
MZ181204 delta_MZ181204
MZ181177 delta_MZ181177
MZ181097 delta_MZ181097
MZ181028 delta_MZ181028
MZ180631 delta_MZ180631
MZ180033 delta_MZ180033
MZ181814 delta_MZ181814
MZ181632 delta_MZ181632
MZ181522 delta_MZ181522
MZ181598 delta_MZ181598
MZ180358 delta_MZ180358
MZ179835 delta_MZ179835
MZ164816 delta_MZ164816
MZ179702 delta_MZ179702
MZ179262 delta_MZ179262
MZ179591 delta_MZ179591
MZ179256 delta_MZ179256
MZ179459 delta_MZ179459
MZ179325 delta_MZ179325
MZ181219 delta_MZ181219
MZ180686 delta_MZ180686
MZ179942 delta_MZ179942
MZ164333 delta_MZ164333
MZ171738 delta_MZ171738
MZ171666 delta_MZ171666
MZ171713 delta_MZ171713
MZ171584 delta_MZ171584
MZ172005 delta_MZ172005
MZ164393 delta_MZ164393
MZ164608 delta_MZ164608
MZ163901 delta_MZ163901
MZ171553 delta_MZ171553
MZ171859 delta_MZ171859
MZ163256 delta_MZ163256
MZ163592 delta_MZ163592
MZ173192 delta_MZ173192
MZ163709 delta_MZ163709
MZ163951 delta_MZ163951
MZ172207 delta_MZ172207
MZ172111 delta_MZ172111
MZ170136 delta_MZ170136
MZ215042 delta_MZ215042
MZ232666 delta_MZ232666
MZ232674 delta_MZ232674
MZ232728 delta_MZ232728
MZ232638 delta_MZ232638
MZ232649 delta_MZ232649
MZ215151 delta_MZ215151
MZ215168 delta_MZ215168
MZ215204 delta_MZ215204
MZ214851 delta_MZ214851
MZ212522 delta_MZ212522
MZ215330 delta_MZ215330
MZ214210 delta_MZ214210
MZ210994 delta_MZ210994
MZ212883 delta_MZ212883
MZ213349 delta_MZ213349
MZ213085 delta_MZ213085
MZ212472 delta_MZ212472
MZ185030 delta_MZ185030
MZ185058 delta_MZ185058
MZ184190 delta_MZ184190
MZ184193 delta_MZ184193
MZ184906 delta_MZ184906
MZ184907 delta_MZ184907
MZ184823 delta_MZ184823
MZ201600 delta_MZ201600
MZ185717 delta_MZ185717
MZ184377 delta_MZ184377
MZ185557 delta_MZ185557
MZ184563 delta_MZ184563
