"Viral_species","NCBI_taxid","Region_feature_class","Beginning","End","locus_tag","db_xref","gene","product","protein_id","codon_start","note","mol_type","host","country","collection_date","strain","ribosomal_slippage","isolate","ribosomal_slippage.1","inference","experiment","function.","isolation_source","old_locus_tag","regulatory_class","gene_synonym","collected_by","lab_host","genotype","pseudo","lat_lon","cell_line","acronym","transl_except","serotype","segment","exception","citation","altitude","subgroup","standard_name","identified_by","group","culture_collection","clone"
"Bat-coronavirus",1508220,"source","1","28975","","taxon:1508220","","","",NA,"","genomic RNA","Eidolon helvum","Cameroon","Dec-2013","",NA,"CMR704-P12",NA,"","","","Feces","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"5_UTR","1","209","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","210","20842","HO265_gp1","GeneID:55060228","ORF1ab","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","210","20842","HO265_gp1","GeneID:55060228","ORF1ab","ORF1ab polyprotein","YP_009824989.2",1,"ORF1ab polyprotein is cleaved to yield the","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","210","12827","HO265_gp2","GeneID:55060235","ORF1a","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","210","12827","HO265_gp2","GeneID:55060235","ORF1a","ORF1a polyprotein","YP_009824988.1",1,"ORF1a polyprotein is cleaved to yield nonstructural","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","20814","24623","HO265_gp3","GeneID:55060229","S","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","20814","24623","HO265_gp3","GeneID:55060229","S","spike protein","YP_009824990.1",1,"surface protein","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","24620","25339","HO265_gp4","GeneID:55060230","ORF3","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","24620","25339","HO265_gp4","GeneID:55060230","ORF3","ORF3 protein","YP_009824991.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","25339","25566","HO265_gp9","GeneID:59893239","E","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","25339","25566","HO265_gp9","GeneID:59893239","E","envelope protein","YP_009944266.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","25568","26233","HO265_gp5","GeneID:55060231","M","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","25568","26233","HO265_gp5","GeneID:55060231","M","membrane protein","YP_009824992.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","26302","27714","HO265_gp6","GeneID:55060232","N","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","26302","27714","HO265_gp6","GeneID:55060232","N","capsid","YP_009824993.1",1,"nucleocapsid protein","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","27726","28277","HO265_gp7","GeneID:55060233","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","27726","28277","HO265_gp7","GeneID:55060233","","hypothetical protein ORFx","YP_009824994.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","28278","28718","HO265_gp8","GeneID:55060234","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","28278","28718","HO265_gp8","GeneID:55060234","","hypothetical protein ORFy","YP_009824995.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"3_UTR","28719","28950","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"source","1","30111","","taxon:1263720","","","",NA,"","genomic RNA","Homo sapiens","United Kingdom","11-Sep-2012","England 1",NA,"H123990006",NA,"","","","","","","","","","2c",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"5_UTR","1","277","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","278","21513","D1P20_gp01","GeneID:37616440","ORF1ab","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","278","21513","D1P20_gp01","GeneID:37616440","ORF1ab","ORF1ab polyprotein","YP_007188577.3",1,"ORF1ab polyprotein is cleaved to yield the","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","278","856","D1P20_gp01","","ORF1ab","nsp1","YP_009944292.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","857","2836","D1P20_gp01","","ORF1ab","nsp2","YP_009944293.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","2837","8497","D1P20_gp01","","ORF1ab","PLpro","YP_009944294.1",NA,"nsp3; papain-like proteinase","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","8498","10018","D1P20_gp01","","ORF1ab","nsp4","YP_009944295.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","10019","10936","D1P20_gp01","","ORF1ab","3C-like cysteine proteinase","YP_009944296.1",NA,"3CLpro; nsp5","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","10937","11812","D1P20_gp01","","ORF1ab","nsp6","YP_009944297.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","11813","12061","D1P20_gp01","","ORF1ab","nsp7","YP_009944298.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","12062","12658","D1P20_gp01","","ORF1ab","nsp8","YP_009944299.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
