	V1	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
1	MN908947	Wuhan-Hu-1	GenBank	NC_045512,EPI_ISL_402125	B.1	Complete	29903	High	0/0/-/-/-	Homo sapiens	2019-12-31	China / Hubei / Wuhan	Shanghai Public Health Clinical Center & School of Public Health, Fudan University, Shanghai, China	2020-01-17	Shanghai Public Health Clinical Center & School of Public Health, Fudan University, Shanghai, China	2020-01-20 12:04:48	2021-03-16 10:46:59	B.1
2	MN938384	2019-nCoV_HKU-SZ-002a_2020	GenBank	EPI_ISL_406030	A	Complete	29838	High	0/0/-/-/-	Homo sapiens	2020-01-10	China / Guangdong / Shenzhen	University of Hong Kong-Shenzhen Hospital	2020-01-14	University of Hong Kong-Shenzhen Hospital	2020-01-25 10:06:37	2021-03-16 10:46:59	A
3	MN975262	2019-nCoV_HKU-SZ-005b_2020	GenBank	EPI_ISL_405839	A	Complete	29891	High	0/0/-/-/-	Homo sapiens	2020-01-11	China / Guangdong / Shenzhen	University of Hong Kong-Shenzhen Hospital	2020-01-21	University of Hong Kong-Shenzhen Hospital	2020-01-25 10:06:37	2021-03-16 10:46:59	A
4	MN985325	SARS-CoV-2/human/USA/USA-WA1/2020	GenBank	EPI_ISL_404895	A	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-01-19	United States / Washington / Snohomish County	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-24	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-26 14:38:55	2021-03-16 10:46:59	A
5	MN988668	2019-nCoV WHU01	GenBank	EPI_ISL_406716	B	Complete	29881	High	0/0/-/-/-	Homo sapiens	2020-01-02	China / Hubei / Wuhan	State Key Laboratory of Virology, Wuhan University	2020-01-23	State Key Laboratory of Virology, Wuhan University	2020-01-29 04:53:40	2021-03-16 10:46:59	B
6	MN988669	2019-nCoV WHU02	GenBank	EPI_ISL_406717	B	Complete	29881	High	0/0/-/-/-	Homo sapiens	2020-01-02	China / Hubei / Wuhan	State Key Laboratory of Virology, Wuhan University	2020-01-23	State Key Laboratory of Virology, Wuhan University	2020-01-29 04:53:40	2021-03-16 10:46:59	B
7	MN994467	2019-nCoV/USA-CA1/2020	GenBank	EPI_ISL_406034	A	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-01-23	United States / California / Los Angeles	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-27	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-29 04:53:40	2021-03-16 10:46:59	A
8	MN994468	2019-nCoV/USA-CA2/2020	GenBank	EPI_ISL_406036	B	Complete	29883	High	0/0/-/-/-	Homo sapiens	2020-01-22	United States / California / Orange County	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-27	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-29 04:53:40	2021-03-16 10:46:59	B
9	MN997409	2019-nCoV/USA-AZ1/2020	GenBank	EPI_ISL_406223	A	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-01-22	United States / Arizona / Phoenix	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-28	Division of Viral Diseases, Centers for Disease Control and Prevention	2020-01-29 04:53:40	2021-03-16 10:46:59	A
10	MT007544	SARS-CoV-2/human/AUS/VIC01/2020	GenBank	EPI_ISL_406844	B	Complete	29893	High	0/0/-/-/-	Homo sapiens	2020-01-25	Australia / Victoria / Clayton	Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity	2020-01-31	Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity	2020-01-31 06:48:13	2021-03-16 10:46:59	B
