MZ535931.1 alpha_MZ535931.1
MZ354038 alpha_MZ354038
MW905632 alpha_MW905632
MZ232069 alpha_MZ232069
MZ163249 alpha_MZ163249
MZ207719 alpha_MZ207719
MZ274532 alpha_MZ274532
MZ320241 alpha_MZ320241
LR882266 alpha_LR882266
MZ037823 alpha_MZ037823
MW751641 alpha_MW751641
MZ144328 alpha_MZ144328
MW773652 alpha_MW773652
MZ431920.1 alpha_MZ431920.1
MZ029143 alpha_MZ029143
MZ163590 alpha_MZ163590
FR992072 alpha_FR992072
MZ070514 alpha_MZ070514
MZ186289 alpha_MZ186289
MZ499031.1 alpha_MZ499031.1
MZ213440 alpha_MZ213440
MZ394485.1 alpha_MZ394485.1
MW712865 alpha_MW712865
MZ054988 alpha_MZ054988
MW968507 alpha_MW968507
MZ146166 alpha_MZ146166
MW966164 alpha_MW966164
MZ290758 alpha_MZ290758
MZ512866.1 alpha_MZ512866.1
MZ279260 alpha_MZ279260
MW994602 alpha_MW994602
MZ290324 alpha_MZ290324
MZ039165 alpha_MZ039165
MZ404727.1 alpha_MZ404727.1
MZ194150 alpha_MZ194150
MZ188458 alpha_MZ188458
MZ259841 alpha_MZ259841
MW715252 alpha_MW715252
MW907850 alpha_MW907850
MZ319969 alpha_MZ319969
MW912007 alpha_MW912007
MZ086730 alpha_MZ086730
MZ163970 alpha_MZ163970
MW781901 alpha_MW781901
MZ142983 alpha_MZ142983
MZ228898 alpha_MZ228898
MZ083246 alpha_MZ083246
MW518236 alpha_MW518236
MZ349834 alpha_MZ349834
MZ002993 alpha_MZ002993
MZ131008 alpha_MZ131008
MZ455845.1 alpha_MZ455845.1
MZ086193 alpha_MZ086193
MZ313512 alpha_MZ313512
MW906464 alpha_MW906464
MZ001261 alpha_MZ001261
MZ491635.1 alpha_MZ491635.1
MZ413990.1 alpha_MZ413990.1
MZ342442 alpha_MZ342442
MZ069801 alpha_MZ069801
MZ398523.1 alpha_MZ398523.1
MZ349073 alpha_MZ349073
MZ187925 alpha_MZ187925
MW880167 alpha_MW880167
MZ173310 alpha_MZ173310
MZ002332 alpha_MZ002332
MZ207409 alpha_MZ207409
MZ278694 alpha_MZ278694
MZ357796 alpha_MZ357796
MZ018176 alpha_MZ018176
MZ319553 alpha_MZ319553
MW807863 alpha_MW807863
MZ055082 alpha_MZ055082
MZ244944 alpha_MZ244944
MW586672 alpha_MW586672
MZ029993 alpha_MZ029993
MW909159 alpha_MW909159
MZ191965 alpha_MZ191965
MZ284480 alpha_MZ284480
MW892254 alpha_MW892254
MZ169364 alpha_MZ169364
MZ187264 alpha_MZ187264
MW906426 alpha_MW906426
MZ238426 alpha_MZ238426
MZ282790 alpha_MZ282790
MZ532661.1 alpha_MZ532661.1
MZ074567 alpha_MZ074567
MZ187850 alpha_MZ187850
MZ207864 alpha_MZ207864
MZ210410 alpha_MZ210410
MZ032537 alpha_MZ032537
MZ254624 alpha_MZ254624
MZ308263 alpha_MZ308263
MZ354310 alpha_MZ354310
MZ192309 alpha_MZ192309
MZ280819 alpha_MZ280819
MZ011608 alpha_MZ011608
MZ032515 alpha_MZ032515
MZ455041.1 alpha_MZ455041.1
MW913813 alpha_MW913813
MZ278711 alpha_MZ278711
FR992472 alpha_FR992472
MZ240691 alpha_MZ240691
MZ213287 alpha_MZ213287
MZ497874.1 alpha_MZ497874.1
MW913717 alpha_MW913717
MW989135 alpha_MW989135
MZ102109 alpha_MZ102109
MZ073582 alpha_MZ073582
MZ154293 alpha_MZ154293
MZ101123 alpha_MZ101123
MZ282180 alpha_MZ282180
MZ342875 alpha_MZ342875
MW908463 alpha_MW908463
MZ280887 alpha_MZ280887
MZ008798 alpha_MZ008798
MZ238979 alpha_MZ238979
FR992659 alpha_FR992659
MZ187259 alpha_MZ187259
MZ269832 alpha_MZ269832
MW911947 alpha_MW911947
MZ518531.1 alpha_MZ518531.1
MW758989 alpha_MW758989
