MW338781 zeta_MW338781
MW338782 zeta_MW338782
MW411871 zeta_MW411871
MW518816 zeta_MW518816
MW495170 zeta_MW495170
MW517346 zeta_MW517346
MW638456 zeta_MW638456
MW638454 zeta_MW638454
MW638671 zeta_MW638671
MW545227 zeta_MW545227
FR990931 zeta_FR990931
MW550246 zeta_MW550246
MW550258 zeta_MW550258
MW559040 zeta_MW559040
MW562068 zeta_MW562068
MW577073 zeta_MW577073
MW565851 zeta_MW565851
MW581635 zeta_MW581635
MW575576 zeta_MW575576
MW583352 zeta_MW583352
MW583367 zeta_MW583367
MW584947 zeta_MW584947
MW586220 zeta_MW586220
MW586517 zeta_MW586517
MW586751 zeta_MW586751
MW586830 zeta_MW586830
MW596090 zeta_MW596090
MW647948 zeta_MW647948
MW636865 zeta_MW636865
MW637035 zeta_MW637035
MW636341 zeta_MW636341
MW702766 zeta_MW702766
MW702765 zeta_MW702765
MW640599 zeta_MW640599
MW640100 zeta_MW640100
MW640231 zeta_MW640231
MW640384 zeta_MW640384
MW643517 zeta_MW643517
MW643880 zeta_MW643880
MW644034 zeta_MW644034
MW644182 zeta_MW644182
MW648261 zeta_MW648261
MW631784 zeta_MW631784
MZ233803 zeta_MZ233803
MZ233804 zeta_MZ233804
MZ233807 zeta_MZ233807
MW666397 zeta_MW666397
MW668527 zeta_MW668527
MW668540 zeta_MW668540
MW669011 zeta_MW669011
MW669035 zeta_MW669035
MW669042 zeta_MW669042
MW669122 zeta_MW669122
MW669388 zeta_MW669388
MW669709 zeta_MW669709
FR992894 zeta_FR992894
MW672726 zeta_MW672726
MW673294 zeta_MW673294
FR990405 zeta_FR990405
MW709234 zeta_MW709234
MW673690 zeta_MW673690
MW703158 zeta_MW703158
MW681227 zeta_MW681227
MW681322 zeta_MW681322
MW681361 zeta_MW681361
MW681466 zeta_MW681466
MW646943 zeta_MW646943
MZ474080.1 zeta_MZ474080.1
MW693514 zeta_MW693514
MW693652 zeta_MW693652
MW693730 zeta_MW693730
MW693867 zeta_MW693867
MW694130 zeta_MW694130
MW695388 zeta_MW695388
MW696344 zeta_MW696344
MW696530 zeta_MW696530
MW696547 zeta_MW696547
MW696572 zeta_MW696572
MW696846 zeta_MW696846
MW696970 zeta_MW696970
MW697045 zeta_MW697045
MW697785 zeta_MW697785
MW697871 zeta_MW697871
MW697917 zeta_MW697917
MW697926 zeta_MW697926
MW697956 zeta_MW697956
MW697995 zeta_MW697995
MW698118 zeta_MW698118
MW706673 zeta_MW706673
MW707282 zeta_MW707282
MW707376 zeta_MW707376
MW707379 zeta_MW707379
MW707411 zeta_MW707411
MW704503 zeta_MW704503
MW704776 zeta_MW704776
MW704924 zeta_MW704924
MW704925 zeta_MW704925
MW705193 zeta_MW705193
MW705288 zeta_MW705288
MW705478 zeta_MW705478
MW705915 zeta_MW705915
MW705987 zeta_MW705987
MW705988 zeta_MW705988
MW706051 zeta_MW706051
MW714592 zeta_MW714592
MW719517 zeta_MW719517
MW720001 zeta_MW720001
MW720102 zeta_MW720102
MW720114 zeta_MW720114
MW720365 zeta_MW720365
MW725581 zeta_MW725581
MW725802 zeta_MW725802
MW728479 zeta_MW728479
MW728572 zeta_MW728572
FR993011 zeta_FR993011
MW731196 zeta_MW731196
MW733225 zeta_MW733225
MW733257 zeta_MW733257
MW733342 zeta_MW733342
MW733387 zeta_MW733387
MW733436 zeta_MW733436
MW733480 zeta_MW733480
MW733532 zeta_MW733532
MW733697 zeta_MW733697
MW734183 zeta_MW734183
MW734334 zeta_MW734334
MW734395 zeta_MW734395
MW734454 zeta_MW734454
MW734492 zeta_MW734492
MW735060 zeta_MW735060
MW735081 zeta_MW735081
MW735231 zeta_MW735231
MW736087 zeta_MW736087
MW739375 zeta_MW739375
MW741903 zeta_MW741903
MW748246 zeta_MW748246
MW748263 zeta_MW748263
MW748264 zeta_MW748264
MW748266 zeta_MW748266
MW749487 zeta_MW749487
MW749589 zeta_MW749589
MW752035 zeta_MW752035
MW752036 zeta_MW752036
MW752068 zeta_MW752068
MW752072 zeta_MW752072
MW758646 zeta_MW758646
MW758728 zeta_MW758728
MW758864 zeta_MW758864
MW759590 zeta_MW759590
MW759623 zeta_MW759623
MW763110 zeta_MW763110
MW763369 zeta_MW763369
MW763416 zeta_MW763416
MW763463 zeta_MW763463
MW763955 zeta_MW763955
MW766525 zeta_MW766525
MW766592 zeta_MW766592
MW767239 zeta_MW767239
MW767313 zeta_MW767313
MW768061 zeta_MW768061
MW771742 zeta_MW771742
MW771800 zeta_MW771800
