	Accession.ID	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
3816	MW560924	SARS-CoV-2/human/USA/CA-LACPHL-AF00280/2021	GenBank	EPI_ISL_905788	B.1.525	Complete	29766	High	0/0/-/-/-	Homo Sapiens	2021-01-17	United States / California / Los Angeles County	UCLA Clinical Micro Lab	2021-01-31	Los Angeles County PHL	2021-02-01 10:56:48	2021-03-16 10:46:59	eta
3935	MW578231	SARS-CoV-2/human/USA/MD-MDH-0793/2021	GenBank	EPI_ISL_942353	B.1.525	Complete	29739	High	0/0/-/-/-	Homo Sapiens	2021-01-27	United States / Maryland / MDH	MD PHL	2021-02-05	MD PHL	2021-02-08 04:23:17	2021-03-16 10:46:59	eta
4219	MW598416	SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-TRA-190/2021	GenBank	 	B.1.525	Complete	29888	High	0/0/-/-/-	Homo sapiens	2021-01-13	Ghana	 	2021-02-12	 	2021-02-13 07:16:20	2021-03-16 10:46:59	eta
5412	MW699913	SARS-CoV-2/human/USA/OH-UHTL-103/2021	GenBank	NA	B.1.525	Complete	29882	High	0/0/-/-/-	Homo sapiens	2021-03-01	United States / Ohio	 	2021-03-05	 	2021-03-06 06:41:04	2021-03-16 10:46:59	eta
5720	MW708456	SARS-CoV-2/human/USA/DC-CDC-2-3881117/2021	GenBank	EPI_ISL_1094311	B.1.525	Complete	29746	High	0/1/-/-/-	Homo Sapiens	2021-01-19	United States / District of Columbia	DC Public Health Lab/ Dept. of Forensic Sciences	2021-02-27	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-03-01 10:09:41	2021-03-16 10:46:59	eta
5785	MW709039	SARS-CoV-2/human/USA/GA-CDC-2-3877994/2021	GenBank	EPI_ISL_1094312	B.1.525	Complete	29723	High	0/0/-/-/-	Homo Sapiens	2021-01-29	United States / Georgia	GA Department of Public Health Laboratory	2021-02-27	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-03-01 10:09:41	2021-03-16 10:46:59	eta
6219	MW735458	SARS-CoV-2/human/USA/FL-BPHL-1204/2021	GenBank	NA	B.1.525	Complete	29757	High	0/0/-/-/-	Homo sapiens	2021-02-03	United States / FL	 	2021-03-12	 	2021-03-15 06:55:36	2021-03-16 10:46:59	eta
6501	MW751593	SARS-CoV-2/human/USA/MD-MDH-1260/2021	GenBank	EPI_ISL_1238831	B.1.525	Complete	29743	High	0/0/-/-/-	Homo Sapiens	2021-03-03	United States / Maryland	MD PHL	2021-03-13	MD PHL	2021-03-16 07:41:33	2021-03-17 07:11:11	eta
6502	MW751596	SARS-CoV-2/human/USA/MD-MDH-1263/2021	GenBank	EPI_ISL_1238834	B.1.525	Complete	29784	High	0/0/-/-/-	Homo Sapiens	2021-03-01	United States / Maryland	MD PHL	2021-03-13	MD PHL	2021-03-16 07:41:33	2021-03-17 07:11:35	eta
7345	MW791296	SARS-CoV-2/human/USA/OH-UHTL-215/2021	GenBank	NA	B.1.525	Complete	29836	High	0/0/-/-/-	Homo sapiens	2021-03-12	United States / Ohio	 	2021-03-22	 	2021-03-24 16:13:41	2021-03-24 16:13:41	eta
