MW891333 kappa_MW891333
MW901867 kappa_MW901867
MW903294 kappa_MW903294
MW966601 kappa_MW966601
MW963458 kappa_MW963458
MZ238161 kappa_MZ238161
MZ236651 kappa_MZ236651
MZ236652 kappa_MZ236652
MZ075508 kappa_MZ075508
MZ075739 kappa_MZ075739
MZ009049 kappa_MZ009049
MZ022819 kappa_MZ022819
MZ023220 kappa_MZ023220
MZ023695 kappa_MZ023695
MZ037253 kappa_MZ037253
MZ037509 kappa_MZ037509
MZ059304 kappa_MZ059304
MZ061059 kappa_MZ061059
MZ061479 kappa_MZ061479
MZ070670 kappa_MZ070670
MZ071510 kappa_MZ071510
MZ071515 kappa_MZ071515
MZ084892 kappa_MZ084892
MZ084984 kappa_MZ084984
MZ085811 kappa_MZ085811
MZ086155 kappa_MZ086155
MZ086454 kappa_MZ086454
MZ099826 kappa_MZ099826
MZ100347 kappa_MZ100347
MZ101280 kappa_MZ101280
MZ131397 kappa_MZ131397
MZ131480 kappa_MZ131480
MZ140618 kappa_MZ140618
MZ140647 kappa_MZ140647
MZ141430 kappa_MZ141430
MZ141999 kappa_MZ141999
MZ142276 kappa_MZ142276
MZ233150 kappa_MZ233150
MZ233151 kappa_MZ233151
MZ233356 kappa_MZ233356
MZ231711 kappa_MZ231711
MZ231844 kappa_MZ231844
MZ231846 kappa_MZ231846
MZ206438 kappa_MZ206438
MZ240576 kappa_MZ240576
MZ232876 kappa_MZ232876
MZ232878 kappa_MZ232878
MZ233013 kappa_MZ233013
MZ151990 kappa_MZ151990
MZ152925 kappa_MZ152925
MZ154482 kappa_MZ154482
MZ154035 kappa_MZ154035
MZ182065 kappa_MZ182065
MZ179928 kappa_MZ179928
MZ164287 kappa_MZ164287
MZ164102 kappa_MZ164102
MZ163796 kappa_MZ163796
MZ172301 kappa_MZ172301
MZ170427 kappa_MZ170427
MZ232698 kappa_MZ232698
MZ232602 kappa_MZ232602
MZ232621 kappa_MZ232621
MZ215414 kappa_MZ215414
MZ213652 kappa_MZ213652
MZ213654 kappa_MZ213654
MZ211571 kappa_MZ211571
MZ211574 kappa_MZ211574
MZ211576 kappa_MZ211576
MZ211577 kappa_MZ211577
MZ210278 kappa_MZ210278
MZ185534 kappa_MZ185534
MZ184555 kappa_MZ184555
MZ186021 kappa_MZ186021
MZ186588 kappa_MZ186588
MZ186501 kappa_MZ186501
MZ186915 kappa_MZ186915
MZ186916 kappa_MZ186916
MZ187639 kappa_MZ187639
MZ187544 kappa_MZ187544
MZ217580 kappa_MZ217580
MZ257556 kappa_MZ257556
MZ257515 kappa_MZ257515
MZ238473 kappa_MZ238473
MZ244384 kappa_MZ244384
MZ264359 kappa_MZ264359
MZ264360 kappa_MZ264360
MZ254260 kappa_MZ254260
MZ257695 kappa_MZ257695
MZ282294 kappa_MZ282294
MZ283907 kappa_MZ283907
MZ284275 kappa_MZ284275
MZ284276 kappa_MZ284276
MZ283944 kappa_MZ283944
MZ283285 kappa_MZ283285
MZ283846 kappa_MZ283846
MZ269263 kappa_MZ269263
MZ288277 kappa_MZ288277
MZ294244 kappa_MZ294244
MZ294484 kappa_MZ294484
MZ307765 kappa_MZ307765
MZ307392 kappa_MZ307392
MZ307113 kappa_MZ307113
MZ291207 kappa_MZ291207
MZ280496 kappa_MZ280496
MZ279284 kappa_MZ279284
MZ279197 kappa_MZ279197
LC633761 kappa_LC633761
MZ310590 kappa_MZ310590
MZ310591 kappa_MZ310591
MZ310587 kappa_MZ310587
MZ310580 kappa_MZ310580
MZ310589 kappa_MZ310589
MZ310588 kappa_MZ310588
MZ333412 kappa_MZ333412
MZ315140 kappa_MZ315140
MZ314697 kappa_MZ314697
MZ314702 kappa_MZ314702
MZ314701 kappa_MZ314701
MZ314693 kappa_MZ314693
MZ314692 kappa_MZ314692
MZ341111 kappa_MZ341111
MZ342889 kappa_MZ342889
MZ340541 kappa_MZ340541
MZ340543 kappa_MZ340543
MZ340502 kappa_MZ340502
MZ340501 kappa_MZ340501
MZ340536 kappa_MZ340536
MZ343477 kappa_MZ343477
MZ350188 kappa_MZ350188
MZ325302 kappa_MZ325302
MZ325346 kappa_MZ325346
MZ332524 kappa_MZ332524
MZ332527 kappa_MZ332527
MZ340525 kappa_MZ340525
MZ325301 kappa_MZ325301
MZ340520 kappa_MZ340520
MZ340519 kappa_MZ340519
MZ340507 kappa_MZ340507
MZ340506 kappa_MZ340506
MZ342806 kappa_MZ342806
MZ342807 kappa_MZ342807
MZ363839 kappa_MZ363839
MZ359879 kappa_MZ359879
MZ359881 kappa_MZ359881
MZ390265 kappa_MZ390265
MZ401493.1 kappa_MZ401493.1
MZ401492.1 kappa_MZ401492.1
MZ401500.1 kappa_MZ401500.1
MZ397175.1 kappa_MZ397175.1
MZ397176.1 kappa_MZ397176.1
MZ397173.1 kappa_MZ397173.1
MZ397177.1 kappa_MZ397177.1
MZ434021.1 kappa_MZ434021.1
MZ021505.1 kappa_MZ021505.1
MZ021504.1 kappa_MZ021504.1
MZ021506.1 kappa_MZ021506.1
MZ468046.1 kappa_MZ468046.1
MZ505967.1 kappa_MZ505967.1
MZ538882.1 kappa_MZ538882.1
MZ558094.1 kappa_MZ558094.1
MZ562748.1 kappa_MZ562748.1
MZ562749.1 kappa_MZ562749.1
MZ562746.1 kappa_MZ562746.1
MZ562747.1 kappa_MZ562747.1
MZ562761.1 kappa_MZ562761.1
MZ562756.1 kappa_MZ562756.1
MZ562759.1 kappa_MZ562759.1
MZ562757.1 kappa_MZ562757.1
MZ562758.1 kappa_MZ562758.1
MZ569121.1 kappa_MZ569121.1
MZ571142.1 kappa_MZ571142.1
